ï»¿"","","Data","Processo","Origem","Favorecido","Conta Banco","Valor","NuCnpj","SqMovimentacao","TpRepasse"
"","","28/12/2017","320","PREFEITURA DE TUCANO","FUNDO SAUDE TUCANO","150746 - BB AG 44954 C/C - 15074-6 - FPM","R$145.566,86","13810312000102","3289","MB"
"","","28/12/2017","321","PREFEITURA DE TUCANO","FUNDO SAUDE TUCANO","2831422 - BB AG 44954 C/C - 283142-2 - ICMS","R$298,48","13810312000102","3290","MB"
"","","28/12/2017","322","PREFEITURA DE TUCANO","FUNDO SAUDE TUCANO","15072X - BB AG 44954 C/C - 15072-X - ITR","R$0,91","13810312000102","3291","MB"
"","","28/12/2017","323","PREFEITURA DE TUCANO","FUNDO SAUDE TUCANO","77860 - BB AG 44954 C/C - 7786-0 - IPI","R$226,78","13810312000102","3292","MB"
"","","28/12/2017","324","PREFEITURA DE TUCANO","FUNDO SAUDE TUCANO","77852 - BB AG 44954 C/C - 7785-2 - ICMS","R$29.217,68","13810312000102","3296","MB"
"","","28/12/2017","325","PREFEITURA DE TUCANO","FUNDO SAUDE TUCANO","9467 - BB AG 44954 C/C - 946-7 - CONTA MOVIMENTO","R$76.000,00","13810312000102","3301","MB"
"","","27/12/2017","319","PREFEITURA DE TUCANO","FUNDO SAUDE TUCANO","77852 - BB AG 44954 C/C - 7785-2 - ICMS","R$24.252,24","13810312000102","3288","MB"
"","","27/12/2017","2219","PREFEITURA DE TUCANO","UPB - UNIAO DOS MUNICIPIOS DA BAHIA","77852 - BB AG 44954 C/C - 7785-2 - ICMS","R$1.003,50","13810312000102","2311","NP"
"","","21/12/2017","318","PREFEITURA DE TUCANO","FUNDO SAUDE TUCANO","9467 - BB AG 44954 C/C - 946-7 - CONTA MOVIMENTO","R$20.000,00","13810312000102","3263","MB"
"","","20/12/2017","316","PREFEITURA DE TUCANO","FUNDO SAUDE TUCANO","9467 - BB AG 44954 C/C - 946-7 - CONTA MOVIMENTO","R$302.000,00","13810312000102","3262","MB"
"","","20/12/2017","312","PREFEITURA DE TUCANO","TUCANO CAMARA MUNICIPAL","150746 - BB AG 44954 C/C - 15074-6 - FPM","R$249.718,81","13810312000102","3249","MB"
"","","20/12/2017","313","PREFEITURA DE TUCANO","FUNDO SAUDE TUCANO","150746 - BB AG 44954 C/C - 15074-6 - FPM","R$118.740,76","13810312000102","3250","MB"
"","","20/12/2017","314","PREFEITURA DE TUCANO","FUNDO SAUDE TUCANO","15072X - BB AG 44954 C/C - 15072-X - ITR","R$6,34","13810312000102","3251","MB"
"","","20/12/2017","315","PREFEITURA DE TUCANO","FUNDO SAUDE TUCANO","77860 - BB AG 44954 C/C - 7786-0 - IPI","R$198,07","13810312000102","3252","MB"
"","","20/12/2017","317","PREFEITURA DE TUCANO","FUNDO ASSISTENCIA SOCIAL DE TUCANO","9467 - BB AG 44954 C/C - 946-7 - CONTA MOVIMENTO","R$56.000,00","13810312000102","3265","MB"
"","","19/12/2017","310","PREFEITURA DE TUCANO","FUNDO SAUDE TUCANO","77852 - BB AG 44954 C/C - 7785-2 - ICMS","R$1.100,00","13810312000102","3277","MB"
"","","19/12/2017","311","PREFEITURA DE TUCANO","FUNDO SAUDE TUCANO","77852 - BB AG 44954 C/C - 7785-2 - ICMS","R$28.559,79","13810312000102","3287","MB"
"","","19/12/2017","308","PREFEITURA DE TUCANO","FUNDO SAUDE TUCANO","9467 - BB AG 44954 C/C - 946-7 - CONTA MOVIMENTO","R$20.000,00","13810312000102","3261","MB"
